factor,pearson_correlation_with_AFS,spearman_correlation_with_AFS,absolute_pearson,mean_value,std_value
implementation_difficulty_constraint,0.6951892192648772,0.6527076659121374,0.6951892192648772,0.5524691358024691,0.2758964065740868
device_constraint,0.571256109449267,0.6357036158998598,0.571256109449267,0.28395061728395055,0.3122993182790043
digital_usage_constraint_score,0.567660768574673,0.5884483319069586,0.567660768574673,0.345679012345679,0.42309850588132825
administrative_disorganization_constraint,0.5496371722361216,0.5184150829350914,0.5496371722361216,0.4845679012345679,0.3453840231637679
recording_system_constraint,0.5233293569209497,0.4818889196288805,0.5233293569209497,0.4979423868312757,0.3693968687458406
digital_tool_variety_constraint,0.4809501566042997,0.49199380979300056,0.4809501566042997,0.32098765432098764,0.3042269093056678
willingness_constraint_score,0.4693275409217035,0.44983674007596897,0.4693275409217035,0.345679012345679,0.31515844535568505
pilot_openness_constraint,0.4427517273385352,0.42653130498579084,0.4427517273385352,0.37037037037037035,0.377307714089059
system_change_resistance_constraint,0.42773126746451895,0.42109283647268925,0.42773126746451895,0.5432098765432098,0.30565023785568135
internet_stability_constraint,0.4006704804701945,0.479717642633907,0.4006704804701945,0.30246913580246915,0.3276718284511103
admin_time_load_constraint,0.3884156017895325,0.25129979741875585,0.3884156017895325,0.6296296296296297,0.32489314482696546
previous_implementation_constraint,0.3586478157535662,0.3718231246972552,0.3586478157535662,0.2839506172839506,0.453722599757676
perceived_utility_constraint,0.31081255594066654,0.32512607761597506,0.31081255594066654,0.028806584362139915,0.09424452333332943
resource_constraint_score,-0.1151139655413828,-0.09096762135322077,0.1151139655413828,0.3611111111111111,0.28228974476590535
time_constraint_score,,,,0.5,0.0
staffing_constraint_score,,,,0.5,0.0
training_deficit_score,,,,0.5,0.0
