institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_011,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_012,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_013,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_014,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_015,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_016,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_017,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_018,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_019,0.25,0.75,0.625,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.25,0.625,0.75,0.625,0.75,0.25,0.75,0.875,0.875,0.75,0.75,0.75,0.25,0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.875,0.75,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.25,0.875,0.75,0.75,0.75,0.75,0.25,0.75,0.875,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75
INST_020,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_021,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_022,1.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.625,0.0,0.625,0.0,1.0,0.0,0.125,0.125,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INST_023,0.625,0.375,0.75,0.375,0.375,0.375,0.75,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.625,0.375,0.375,0.625,1.0,0.375,1.0,0.375,0.625,0.375,0.5,0.5,0.375,0.375,0.375,0.625,0.375,0.625,0.625,0.375,0.625,0.375,0.625,0.375,0.375,0.375,0.5,0.375,0.375,0.375,0.375,0.375,0.625,0.375,0.375,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.75,0.625,0.75,0.375,0.375,0.375,0.375,0.625,0.375,0.5,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375
INST_024,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_025,0.625,0.375,0.75,0.375,0.375,0.375,0.75,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.625,0.375,0.375,0.625,1.0,0.375,1.0,0.375,0.625,0.375,0.5,0.5,0.375,0.375,0.375,0.625,0.375,0.625,0.625,0.375,0.625,0.375,0.625,0.375,0.375,0.375,0.5,0.375,0.375,0.375,0.375,0.375,0.625,0.375,0.375,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.75,0.625,0.75,0.375,0.375,0.375,0.375,0.625,0.375,0.5,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375
INST_026,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_027,1.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.625,0.0,0.625,0.0,1.0,0.0,0.125,0.125,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INST_028,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_029,0.125,0.875,0.75,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.125,0.5,0.875,0.5,0.875,0.125,0.875,1.0,1.0,0.875,0.875,0.875,0.125,0.875,0.125,0.125,0.875,0.125,0.875,0.125,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.125,0.875,0.875,0.125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.125,0.75,0.875,0.875,0.875,0.875,0.125,0.875,1.0,0.125,0.875,0.875,0.875,0.875,0.875,0.875,0.875
INST_030,0.125,0.875,0.75,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.125,0.5,0.875,0.5,0.875,0.125,0.875,1.0,1.0,0.875,0.875,0.875,0.125,0.875,0.125,0.125,0.875,0.125,0.875,0.125,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.125,0.875,0.875,0.125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.125,0.75,0.875,0.875,0.875,0.875,0.125,0.875,1.0,0.125,0.875,0.875,0.875,0.875,0.875,0.875,0.875
INST_031,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_032,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_033,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_034,1.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.625,0.0,0.625,0.0,1.0,0.0,0.125,0.125,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INST_035,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_036,1.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.625,0.0,0.625,0.0,1.0,0.0,0.125,0.125,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INST_037,1.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.625,0.0,0.625,0.0,1.0,0.0,0.125,0.125,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INST_038,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INST_039,1.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.625,0.0,0.625,0.0,1.0,0.0,0.125,0.125,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INST_040,0.0,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.375,1.0,0.375,1.0,0.0,1.0,0.875,0.875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
